condition,family,seed,planner,event_target,route,path_length,route_risk,all_returnable,min_recoverability,mean_recoverability,terminal_recoverability,commitment_loss,maximum_single_step_loss,bottleneck_exposure,fragility_penalty,event_blocks_route,mission_success,objective_value
risk_resilient,open,4,J0_shortest,fragile,fragile,36,3.1884936221271514,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,True,False,36.0
risk_resilient,open,4,J1_risk,fragile,fragile,36,3.1884936221271514,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,True,False,99.76987244254303
risk_resilient,open,4,J2_recoverability,fragile,resilient,36,4.05301245552872,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,False,True,51.120000000000005
risk_resilient,open,4,J3_joint,fragile,fragile,36,3.1884936221271514,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,True,False,130.74716973984033
risk_resilient,open,5,J0_shortest,resilient,fragile,36,3.16557622810643,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,36.0
risk_resilient,open,5,J1_risk,resilient,fragile,36,3.16557622810643,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,99.3115245621286
risk_resilient,open,5,J2_recoverability,resilient,resilient,36,4.085492693869621,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,True,False,51.120000000000005
risk_resilient,open,5,J3_joint,resilient,fragile,36,3.16557622810643,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,130.2888218594259
risk_resilient,open,6,J0_shortest,resilient,fragile,36,3.221762934361052,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,36.0
risk_resilient,open,6,J1_risk,resilient,fragile,36,3.221762934361052,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,100.43525868722104
risk_resilient,open,6,J2_recoverability,resilient,resilient,36,4.0903603962919135,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,True,False,51.120000000000005
risk_resilient,open,6,J3_joint,resilient,fragile,36,3.221762934361052,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,131.41255598451835
risk_resilient,open,7,J0_shortest,resilient,fragile,36,3.1529602670405716,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,36.0
risk_resilient,open,7,J1_risk,resilient,fragile,36,3.1529602670405716,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,99.05920534081143
risk_resilient,open,7,J2_recoverability,resilient,resilient,36,4.071029385671142,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,True,False,51.120000000000005
risk_resilient,open,7,J3_joint,resilient,fragile,36,3.1529602670405716,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,130.03650263810874
risk_resilient,open,8,J0_shortest,none,fragile,36,3.1825881181410365,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,36.0
risk_resilient,open,8,J1_risk,none,fragile,36,3.1825881181410365,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,99.65176236282073
risk_resilient,open,8,J2_recoverability,none,resilient,36,4.0371471370359995,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,False,True,51.120000000000005
risk_resilient,open,8,J3_joint,none,fragile,36,3.1825881181410365,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,130.62905966011803
risk_resilient,open,9,J0_shortest,resilient,fragile,36,3.2053202497128197,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,36.0
risk_resilient,open,9,J1_risk,resilient,fragile,36,3.2053202497128197,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,100.1064049942564
risk_resilient,open,9,J2_recoverability,resilient,resilient,36,4.089072917494826,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,True,False,51.120000000000005
risk_resilient,open,9,J3_joint,resilient,fragile,36,3.2053202497128197,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,131.0837022915537
risk_resilient,open,10,J0_shortest,fragile,fragile,36,3.163714218959647,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,True,False,36.0
risk_resilient,open,10,J1_risk,fragile,fragile,36,3.163714218959647,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,True,False,99.27428437919295
risk_resilient,open,10,J2_recoverability,fragile,resilient,36,4.0220682115452435,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,False,True,51.120000000000005
risk_resilient,open,10,J3_joint,fragile,fragile,36,3.163714218959647,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,True,False,130.25158167649025
risk_resilient,open,11,J0_shortest,none,fragile,36,3.1860680742965735,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,36.0
risk_resilient,open,11,J1_risk,none,fragile,36,3.1860680742965735,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,99.72136148593147
risk_resilient,open,11,J2_recoverability,none,resilient,36,4.075538528200829,True,0.63,0.8099459459459458,0.63,0.386,0.04999999999999993,0.0,0.756,False,True,51.120000000000005
risk_resilient,open,11,J3_joint,none,fragile,36,3.1860680742965735,True,0.39999999999999997,0.5916216216216217,0.63,0.5840000000000001,0.17600000000000005,0.36486486486486486,1.548864864864865,False,True,130.69865878322878
