cell_id_cov,row_cov,col_cov,center_x_cov,center_z_cov,covered,idx,cell_id_unc,row_unc,col_unc,center_x_unc,center_z_unc,feature_density_norm,uncertainty,priority
563,18,5,-18.046348278625445,-14.832993293053043,1,563,563,18,5,-18.046348278625445,-14.832993293053043,0.0,1.0,0.5
564,18,6,-17.046348278625445,-14.832993293053043,0,564,564,18,6,-17.046348278625445,-14.832993293053043,0.0,1.0,1.5
565,18,7,-16.046348278625445,-14.832993293053043,0,565,565,18,7,-16.046348278625445,-14.832993293053043,0.0,1.0,1.5
566,18,8,-15.046348278625445,-14.832993293053043,0,566,566,18,8,-15.046348278625445,-14.832993293053043,0.0,1.0,1.5
567,18,9,-14.046348278625445,-14.832993293053043,0,567,567,18,9,-14.046348278625445,-14.832993293053043,0.0,1.0,1.5
568,18,10,-13.046348278625445,-14.832993293053043,0,568,568,18,10,-13.046348278625445,-14.832993293053043,0.0,1.0,1.5
569,18,11,-12.046348278625445,-14.832993293053043,0,569,569,18,11,-12.046348278625445,-14.832993293053043,0.0,1.0,1.5
570,18,12,-11.046348278625445,-14.832993293053043,0,570,570,18,12,-11.046348278625445,-14.832993293053043,0.0,1.0,1.5
571,18,13,-10.046348278625445,-14.832993293053043,0,571,571,18,13,-10.046348278625445,-14.832993293053043,0.0,1.0,1.5
572,18,14,-9.046348278625445,-14.832993293053043,0,572,572,18,14,-9.046348278625445,-14.832993293053043,0.0,1.0,1.5
573,18,15,-8.046348278625445,-14.832993293053043,0,573,573,18,15,-8.046348278625445,-14.832993293053043,0.0,1.0,1.5
574,18,16,-7.0463482786254446,-14.832993293053043,0,574,574,18,16,-7.0463482786254446,-14.832993293053043,0.0,1.0,1.5
575,18,17,-6.0463482786254446,-14.832993293053043,0,575,575,18,17,-6.0463482786254446,-14.832993293053043,0.0,1.0,1.5
576,18,18,-5.0463482786254446,-14.832993293053043,0,576,576,18,18,-5.0463482786254446,-14.832993293053043,0.0,1.0,1.5
577,18,19,-4.0463482786254446,-14.832993293053043,0,577,577,18,19,-4.0463482786254446,-14.832993293053043,0.0,1.0,1.5
578,18,20,-3.046348278625445,-14.832993293053043,0,578,578,18,20,-3.046348278625445,-14.832993293053043,0.0,1.0,1.5
579,18,21,-2.046348278625445,-14.832993293053043,1,579,579,18,21,-2.046348278625445,-14.832993293053043,0.0,1.0,0.5
581,18,23,-0.0463482786254445,-14.832993293053043,1,581,581,18,23,-0.0463482786254445,-14.832993293053043,0.0,1.0,0.5
582,18,24,0.9536517213745554,-14.832993293053043,0,582,582,18,24,0.9536517213745554,-14.832993293053043,0.0,1.0,1.5
583,18,25,1.9536517213745557,-14.832993293053043,0,583,583,18,25,1.9536517213745557,-14.832993293053043,0.0,1.0,1.5
584,18,26,2.9536517213745554,-14.832993293053043,0,584,584,18,26,2.9536517213745554,-14.832993293053043,0.0,1.0,1.5
585,18,27,3.953651721374555,-14.832993293053043,0,585,585,18,27,3.953651721374555,-14.832993293053043,0.0,1.0,1.5
586,18,28,4.9536517213745554,-14.832993293053043,0,586,586,18,28,4.9536517213745554,-14.832993293053043,0.0,1.0,1.5
587,18,29,5.9536517213745554,-14.832993293053043,0,587,587,18,29,5.9536517213745554,-14.832993293053043,0.0,1.0,1.5
588,18,30,6.9536517213745554,-14.832993293053043,0,588,588,18,30,6.9536517213745554,-14.832993293053043,0.0,1.0,1.5
589,19,0,-23.046348278625445,-13.832993293053043,0,589,589,19,0,-23.046348278625445,-13.832993293053043,0.0,1.0,1.5
590,19,1,-22.046348278625445,-13.832993293053043,0,590,590,19,1,-22.046348278625445,-13.832993293053043,0.0,1.0,1.5
