cell_id,row,col,center_x,center_z,feature_density_norm,uncertainty
113,3,20,-3.0463482786254446,-29.832993293053043,0.0,1.0
114,3,21,-2.0463482786254446,-29.832993293053043,0.0,1.0
115,3,22,-1.0463482786254446,-29.832993293053043,0.0,1.0
116,3,23,-0.04634827862544455,-29.832993293053043,0.0,1.0
117,3,24,0.9536517213745554,-29.832993293053043,0.0,1.0
118,3,25,1.9536517213745554,-29.832993293053043,0.0,1.0
119,3,26,2.9536517213745554,-29.832993293053043,0.9357142857142857,0.06428571428571428
120,3,27,3.9536517213745554,-29.832993293053043,0.9392857142857143,0.06071428571428572
121,3,28,4.9536517213745554,-29.832993293053043,0.0,1.0
122,3,29,5.9536517213745554,-29.832993293053043,0.0,1.0
123,3,30,6.9536517213745554,-29.832993293053043,0.0,1.0
124,4,0,-23.046348278625445,-28.832993293053043,0.0,1.0
125,4,1,-22.046348278625445,-28.832993293053043,0.0,1.0
126,4,2,-21.046348278625445,-28.832993293053043,0.0,1.0
127,4,3,-20.046348278625445,-28.832993293053043,0.0,1.0
128,4,4,-19.046348278625445,-28.832993293053043,0.0,1.0
129,4,5,-18.046348278625445,-28.832993293053043,0.0,1.0
130,4,6,-17.046348278625445,-28.832993293053043,0.0,1.0
131,4,7,-16.046348278625445,-28.832993293053043,0.0,1.0
132,4,8,-15.046348278625445,-28.832993293053043,0.0,1.0
133,4,9,-14.046348278625445,-28.832993293053043,0.0,1.0
134,4,10,-13.046348278625445,-28.832993293053043,0.0,1.0
135,4,11,-12.046348278625445,-28.832993293053043,0.0,1.0
136,4,12,-11.046348278625445,-28.832993293053043,0.0,1.0
137,4,13,-10.046348278625445,-28.832993293053043,0.0,1.0
138,4,14,-9.046348278625445,-28.832993293053043,0.0,1.0
139,4,15,-8.046348278625445,-28.832993293053043,0.9285714285714286,0.0714285714285714
140,4,16,-7.0463482786254446,-28.832993293053043,0.9547619047619047,0.0452380952380953
141,4,17,-6.0463482786254446,-28.832993293053043,0.0,1.0
142,4,18,-5.0463482786254446,-28.832993293053043,0.0,1.0
143,4,19,-4.0463482786254446,-28.832993293053043,0.0,1.0
144,4,20,-3.0463482786254446,-28.832993293053043,0.9321428571428572,0.06785714285714284
145,4,21,-2.0463482786254446,-28.832993293053043,0.0,1.0
146,4,22,-1.0463482786254446,-28.832993293053043,0.0,1.0
147,4,23,-0.04634827862544455,-28.832993293053043,0.0,1.0
148,4,24,0.9536517213745554,-28.832993293053043,0.0,1.0
149,4,25,1.9536517213745554,-28.832993293053043,0.9642857142857143,0.0357142857142857
150,4,26,2.9536517213745554,-28.832993293053043,0.9357142857142857,0.06428571428571428
151,4,27,3.9536517213745554,-28.832993293053043,0.925,0.07499999999999996
152,4,28,4.9536517213745554,-28.832993293053043,0.0,1.0
153,4,29,5.9536517213745554,-28.832993293053043,0.0,1.0
154,4,30,6.9536517213745554,-28.832993293053043,0.0,1.0
155,5,0,-23.046348278625445,-27.832993293053043,0.0,1.0
156,5,1,-22.046348278625445,-27.832993293053043,0.0,1.0
157,5,2,-21.046348278625445,-27.832993293053043,0.0,1.0
158,5,3,-20.046348278625445,-27.832993293053043,0.0,1.0
159,5,4,-19.046348278625445,-27.832993293053043,0.0,1.0
160,5,5,-18.046348278625445,-27.832993293053043,0.0,1.0
161,5,6,-17.046348278625445,-27.832993293053043,0.0,1.0
162,5,7,-16.046348278625445,-27.832993293053043,0.0,1.0
163,5,8,-15.046348278625445,-27.832993293053043,0.0,1.0
164,5,9,-14.046348278625445,-27.832993293053043,0.0,1.0
165,5,10,-13.046348278625445,-27.832993293053043,0.0,1.0
166,5,11,-12.046348278625445,-27.832993293053043,0.0,1.0
167,5,12,-11.046348278625445,-27.832993293053043,0.0,1.0
168,5,13,-10.046348278625445,-27.832993293053043,0.9428571428571428,0.05714285714285716
169,5,14,-9.046348278625445,-27.832993293053043,0.9380952380952382,0.061904761904761796
170,5,15,-8.046348278625445,-27.832993293053043,0.9214285714285714,0.07857142857142863
171,5,16,-7.0463482786254446,-27.832993293053043,0.9714285714285714,0.02857142857142858
172,5,17,-6.0463482786254446,-27.832993293053043,0.9714285714285714,0.02857142857142858
173,5,18,-5.0463482786254446,-27.832993293053043,0.0,1.0
174,5,19,-4.0463482786254446,-27.832993293053043,0.0,1.0
175,5,20,-3.0463482786254446,-27.832993293053043,0.9,0.09999999999999998
176,5,21,-2.0463482786254446,-27.832993293053043,0.9071428571428571,0.09285714285714286
177,5,22,-1.0463482786254446,-27.832993293053043,0.8857142857142857,0.11428571428571432
178,5,23,-0.04634827862544455,-27.832993293053043,0.9785714285714285,0.021428571428571463
179,5,24,0.9536517213745554,-27.832993293053043,0.9928571428571429,0.0071428571428571175
180,5,25,1.9536517213745554,-27.832993293053043,0.9571428571428572,0.042857142857142816
181,5,26,2.9536517213745554,-27.832993293053043,0.0,1.0
182,5,27,3.9536517213745554,-27.832993293053043,0.9035714285714286,0.09642857142857142
183,5,28,4.9536517213745554,-27.832993293053043,0.0,1.0
184,5,29,5.9536517213745554,-27.832993293053043,0.0,1.0
185,5,30,6.9536517213745554,-27.832993293053043,0.0,1.0
186,6,0,-23.046348278625445,-26.832993293053043,0.0,1.0
187,6,1,-22.046348278625445,-26.832993293053043,0.0,1.0
188,6,2,-21.046348278625445,-26.832993293053043,0.0,1.0
189,6,3,-20.046348278625445,-26.832993293053043,0.0,1.0
190,6,4,-19.046348278625445,-26.832993293053043,0.0,1.0
191,6,5,-18.046348278625445,-26.832993293053043,0.95,0.050000000000000044
192,6,6,-17.046348278625445,-26.832993293053043,0.9785714285714285,0.021428571428571463
193,6,7,-16.046348278625445,-26.832993293053043,0.9428571428571428,0.05714285714285716
