frame_idx,x,y,z
37,-3.03442566189564,1.7366913597950726,-1.600733346810856
38,-2.6650640876279823,1.7226562179509588,-2.529913115342185
39,-2.295702513360325,1.7086210761068452,-3.4590928838735144
40,-1.9263409390926671,1.6945859342627319,-4.388272652404844
41,-2.65955788164003,2.07247644438655,-3.8229482521532203
42,-3.3927748241873927,2.4503669545103683,-3.2576238519015965
43,-3.0234132499197353,2.436331812666255,-4.186803620432926
44,-2.654051675652078,2.422296670822142,-5.1159833889642545
45,-2.2846901013844203,2.408261528978029,-6.045163157495583
46,-1.9153285271167624,2.394226387133916,-6.974342926026912
47,-2.648545469664125,2.7721168972577344,-6.409018525775289
48,-3.3817624122114873,3.1500074073815525,-5.843694125523665
49,-4.11497935475885,3.5278979175053706,-5.278369725272042
50,-3.7456177804911923,3.5138627756612575,-6.20754949380337
51,-3.376256206223535,3.499827633817144,-7.136729262334698
52,-3.0068946319558774,3.4857924919730303,-8.065909030866026
53,-2.63753305768822,3.471757350128916,-8.995088799397353
54,-2.2681714834205624,3.4577222082848027,-9.924268567928682
55,-3.001388425046473,3.8356127193076923,-9.358944167082933
56,-2.6320268497360484,3.821577577684513,-10.288123935203085
57,-3.365243792504171,4.19946808676539,-9.722799534540632
58,-2.9958822171937465,4.185432945142211,-10.651979302660784
59,-2.626520641883322,4.171397803519032,-11.581159070780936
60,-2.257159066572897,4.157362661895854,-12.510338838901088
61,-1.8877974912624724,4.143327520272675,-13.43951860702124
62,-1.5184359159520477,4.129292378649497,-14.368698375141392
63,-1.1490743406416233,4.115257237026319,-15.297878143261544
64,-0.7797127653311986,4.101222095403141,-16.227057911381696
65,-0.4103511900207739,4.087186953779963,-17.156237679501846
66,-0.040989614710349176,4.073151812156786,-18.085417447621996
67,0.3283719606000757,4.059116670533607,-19.014597215742146
68,0.6977335359105004,4.045081528910428,-19.943776983862296
69,1.067095111220925,4.03104638728725,-20.872956751982446
70,1.4364566865313497,4.017011245664072,-21.802136520102597
71,1.8058182618417744,4.0029761040408935,-22.731316288222747
72,2.175179837152199,3.9889409624177152,-23.660496056342897
73,2.5445414124626238,3.974905820794537,-24.589675824463047
74,2.9139029877730485,3.9608706791713586,-25.518855592583197
75,3.283264563083473,3.9468355375481803,-26.448035360703347
76,3.652626138393898,3.9328003959250015,-27.377215128823497
77,4.0219877137043225,3.9187652543018228,-28.306394896943647
78,4.391349289014747,3.9047301126786444,-29.235574665063798
79,3.6581323462466244,4.28262062175952,-28.670250264401346
80,4.027493921557049,4.268585480136342,-29.599430032521497
81,3.2942769787889263,4.646475989217218,-29.034105631859045
82,3.663638554099351,4.63244084759404,-29.963285399979195
83,2.9304216113312282,5.010331356674916,-29.397960999316744
84,2.1972046685631055,5.388221865755792,-28.832636598654293
85,1.4639877257949827,5.766112374836668,-28.267312197991842
86,0.73077078302686,6.144002883917544,-27.70198779732939
87,-0.00244615974126261,6.52189339299842,-27.13666339666694
88,-0.7356631025093855,6.899783902079295,-26.57133899600449
89,-0.3663015271989621,6.885748760456118,-27.50051876412464
90,-1.099518469967085,7.263639269536994,-26.935194363462188
91,-0.7301568946566611,7.249604127913816,-27.864374131582338
92,-1.463373837424784,7.627494636994692,-27.299049730919883
93,-2.196590780192907,8.005385146075568,-26.733725330257432
94,-1.8272292048824816,7.99135000445239,-27.662905098377582
95,-2.560446147650605,8.369240513533265,-27.09758069771513
96,-3.2936630904187285,8.747131022614141,-26.53225629705268
97,-2.9243015151083034,8.733095880990964,-27.46143606517283
98,-2.5549399397978796,8.719060739367787,-28.39061583329298
99,-3.2881568825660032,9.096951248448663,-27.82529143263053
100,-2.9187953072555777,9.082916106825486,-28.75447120075068
101,-3.2881568825660032,9.096951248448663,-27.82529143263053
102,-3.657518457876429,9.11098639007184,-26.89611166451038
103,-3.288156882566004,9.096951248448663,-27.82529143263053
104,-2.5549399397978805,8.719060739367787,-28.39061583329298
105,-3.288156882566004,9.096951248448663,-27.82529143263053
106,-2.554939939797881,8.719060739367787,-28.39061583329298
107,-3.288156882566004,9.096951248448663,-27.82529143263053
108,-4.021373825334128,9.47484175752954,-27.259967031968078
