cell_id,row,col,center_x,center_z,covered,uncertainty,pose_uncertainty,pose_uncertainty_norm,uncertainty_fused
114,3,21,-2.046348278625445,-29.832993293053043,1,0.2,0.0,0.0,0.1
115,3,22,-1.0463482786254446,-29.832993293053043,0,0.8,0.0,0.0,0.4
116,3,23,-0.0463482786254445,-29.832993293053043,0,0.8,0.0,0.0,0.4
117,3,24,0.9536517213745554,-29.832993293053043,0,0.8,0.0,0.0,0.4
118,3,25,1.953651721374556,-29.832993293053043,1,0.2,0.0,0.0,0.1
119,3,26,2.9536517213745554,-29.832993293053043,1,0.2,0.027350761008772886,0.23589484846381722,0.2179474242319086
120,3,27,3.953651721374555,-29.832993293053043,1,0.2,0.03311085645685103,0.28651319210024895,0.24325659605012448
121,3,28,4.9536517213745554,-29.832993293053043,1,0.2,0.0,0.0,0.1
122,3,29,5.9536517213745554,-29.832993293053043,0,0.8,0.0,0.0,0.4
123,3,30,6.9536517213745554,-29.832993293053043,0,0.8,0.0,0.0,0.4
124,4,0,-23.046348278625445,-28.832993293053043,0,0.8,0.0,0.0,0.4
125,4,1,-22.046348278625445,-28.832993293053043,0,0.8,0.0,0.0,0.4
126,4,2,-21.046348278625445,-28.832993293053043,0,0.8,0.0,0.0,0.4
127,4,3,-20.046348278625445,-28.832993293053043,0,0.8,0.0,0.0,0.4
128,4,4,-19.046348278625445,-28.832993293053043,0,0.8,0.0,0.0,0.4
129,4,5,-18.046348278625445,-28.832993293053043,0,0.8,0.0,0.0,0.4
130,4,6,-17.046348278625445,-28.832993293053043,0,0.8,0.0,0.0,0.4
131,4,7,-16.046348278625445,-28.832993293053043,0,0.8,0.0,0.0,0.4
132,4,8,-15.046348278625445,-28.832993293053043,0,0.8,0.0,0.0,0.4
133,4,9,-14.046348278625445,-28.832993293053043,0,0.8,0.0,0.0,0.4
134,4,10,-13.046348278625445,-28.832993293053043,0,0.8,0.0,0.0,0.4
135,4,11,-12.046348278625445,-28.832993293053043,0,0.8,0.0,0.0,0.4
136,4,12,-11.046348278625445,-28.832993293053043,1,0.2,0.0,0.0,0.1
137,4,13,-10.046348278625445,-28.832993293053043,1,0.2,0.0,0.0,0.1
138,4,14,-9.046348278625445,-28.832993293053043,1,0.2,0.0,0.0,0.1
139,4,15,-8.046348278625445,-28.832993293053043,1,0.2,0.037238551184131635,0.3227863879205524,0.2613931939602762
140,4,16,-7.0463482786254446,-28.832993293053043,1,0.2,0.053166461363832795,0.4627570599612971,0.33137852998064854
141,4,17,-6.0463482786254446,-28.832993293053043,1,0.2,0.0,0.0,0.1
142,4,18,-5.0463482786254446,-28.832993293053043,1,0.2,0.0,0.0,0.1
143,4,19,-4.0463482786254446,-28.832993293053043,1,0.2,0.0,0.0,0.1
144,4,20,-3.046348278625445,-28.832993293053043,1,0.2,0.03273332857878264,0.2831955672385334,0.2415977836192667
145,4,21,-2.046348278625445,-28.832993293053043,1,0.2,0.0,0.0,0.1
146,4,22,-1.0463482786254446,-28.832993293053043,1,0.2,0.0,0.0,0.1
147,4,23,-0.0463482786254445,-28.832993293053043,1,0.2,0.0,0.0,0.1
148,4,24,0.9536517213745554,-28.832993293053043,1,0.2,0.0,0.0,0.1
