waypoint_id,row,col,x,z
158,5,6,-17.046348278625445,-27.832993293053043
159,5,5,-18.046348278625445,-27.832993293053043
160,5,4,-19.046348278625445,-27.832993293053043
161,5,3,-20.046348278625445,-27.832993293053043
162,5,2,-21.046348278625445,-27.832993293053043
163,5,1,-22.046348278625445,-27.832993293053043
164,5,0,-23.046348278625445,-27.832993293053043
165,6,0,-23.046348278625445,-26.832993293053043
166,6,1,-22.046348278625445,-26.832993293053043
167,6,2,-21.046348278625445,-26.832993293053043
168,6,3,-20.046348278625445,-26.832993293053043
169,6,4,-19.046348278625445,-26.832993293053043
170,6,8,-15.046348278625445,-26.832993293053043
171,6,9,-14.046348278625445,-26.832993293053043
172,6,10,-13.046348278625445,-26.832993293053043
173,6,11,-12.046348278625445,-26.832993293053043
174,6,13,-10.046348278625445,-26.832993293053043
175,6,14,-9.046348278625445,-26.832993293053043
176,6,15,-8.046348278625445,-26.832993293053043
177,6,17,-6.0463482786254446,-26.832993293053043
178,6,24,0.9536517213745554,-26.832993293053043
179,6,25,1.953651721374556,-26.832993293053043
180,6,27,3.953651721374555,-26.832993293053043
181,6,28,4.9536517213745554,-26.832993293053043
182,6,29,5.9536517213745554,-26.832993293053043
183,6,30,6.9536517213745554,-26.832993293053043
184,7,30,6.9536517213745554,-25.832993293053043
185,7,29,5.9536517213745554,-25.832993293053043
186,7,28,4.9536517213745554,-25.832993293053043
187,7,27,3.953651721374555,-25.832993293053043
188,7,25,1.953651721374556,-25.832993293053043
189,7,24,0.9536517213745554,-25.832993293053043
190,7,23,-0.0463482786254445,-25.832993293053043
191,7,22,-1.0463482786254446,-25.832993293053043
192,7,21,-2.046348278625445,-25.832993293053043
193,7,20,-3.046348278625445,-25.832993293053043
194,7,19,-4.0463482786254446,-25.832993293053043
195,7,15,-8.046348278625445,-25.832993293053043
196,7,14,-9.046348278625445,-25.832993293053043
197,7,13,-10.046348278625445,-25.832993293053043
198,7,11,-12.046348278625445,-25.832993293053043
199,7,10,-13.046348278625445,-25.832993293053043
200,7,6,-17.046348278625445,-25.832993293053043
201,7,4,-19.046348278625445,-25.832993293053043
202,7,3,-20.046348278625445,-25.832993293053043
203,7,2,-21.046348278625445,-25.832993293053043
204,7,1,-22.046348278625445,-25.832993293053043
205,7,0,-23.046348278625445,-25.832993293053043
206,8,0,-23.046348278625445,-24.832993293053043
207,8,1,-22.046348278625445,-24.832993293053043
208,8,2,-21.046348278625445,-24.832993293053043
209,8,3,-20.046348278625445,-24.832993293053043
210,8,4,-19.046348278625445,-24.832993293053043
211,8,5,-18.046348278625445,-24.832993293053043
212,8,8,-15.046348278625445,-24.832993293053043
213,8,10,-13.046348278625445,-24.832993293053043
214,8,11,-12.046348278625445,-24.832993293053043
215,8,13,-10.046348278625445,-24.832993293053043
216,8,14,-9.046348278625445,-24.832993293053043
217,8,15,-8.046348278625445,-24.832993293053043
218,8,17,-6.0463482786254446,-24.832993293053043
219,8,18,-5.0463482786254446,-24.832993293053043
